Profile Id,Opportunity Id,Opportunity Name,Opportunity Category,Opportunity End Date,Gender,City,Country,Current Student Status,Current/Intended Major,Status Description,Opportunity Start Date,Reward Amount,Badge Name,Skill Points Earned,Skills Earned
31ce84c2-2bd1-40ba-b2d8-f164fe125306,00000000-0G4F-19XB-EXPW-KS8F3N,Statement of Purpose (SOP) Writing Workshop,Event,2023-01-05 18:58:39,Male,Dhaka,Bangladesh,High School Student,Data Science,Not Started,2023-01-05 18:52:39,0,Not Given,0,No Skills Earned
36814990-f854-4f76-8c63-91f27567d080,00000000-0G4F-19XB-EXPW-KS8F3N,Statement of Purpose (SOP) Writing Workshop,Event,2023-01-05 18:58:39,Female,Amritsar,Afghanistan,Undergraduate Student,Others,Rewards Award,2023-01-05 18:52:39,200,Statement of Purpose (SOP) Writing Workshop,10,"[""Critical Thinking"",""Creative Thinking"",""Communication"",""Career Readiness""]"
8154328c-f8fe-4bd1-af05-783e140f68b5,00000000-0G4F-19XB-EXPW-KS8F3N,Statement of Purpose (SOP) Writing Workshop,Event,2023-01-05 18:58:39,Female,Satna,India,High School Student,Computer Science and Engineering,Not Started,2023-01-05 18:52:39,0,Not Given,0,No Skills Earned
a83abad6-db1e-44c4-a8f4-9e397e282d73,00000000-0G4F-19XB-EXPW-KS8F3N,Statement of Purpose (SOP) Writing Workshop,Event,2023-01-05 18:58:39,Male,Hyderabad,India,Graduate Program Student,Computer Science,Not Started,2023-01-05 18:52:39,0,Not Given,0,No Skills Earned
c2b8a15f-2ba3-41e4-a553-7ca68b0d4a54,00000000-0G4F-19XB-EXPW-KS8F3N,Statement of Purpose (SOP) Writing Workshop,Event,2023-01-05 18:58:39,Male,Bangalore,India,Undergraduate Student,Others,Not Started,2023-01-05 18:52:39,0,Not Given,0,No Skills Earned
061389be-8094-47f3-a87b-8bfff80ed3a8,00000000-0GT8-HCVB-01AE-6QEP8Y,Life Beyond Saint Louis University's Campus,Event,2022-10-27 18:29:00,Male,Saint Louis,United States,Graduate Program Student,Computer Science and Information Systems,Rewards Award,2022-10-28 13:30:00,200,Life Beyond Saint Louis University's Campus,10,"[""Creative Thinking"",""Technology Literacy"",""Initiative"",""Career Readiness""]"
2b39f489-0bb7-4ea2-9a5f-de98868c4ec3,00000000-0GT8-HCVB-01AE-6QEP8Y,Life Beyond Saint Louis University's Campus,Event,2022-10-27 18:29:00,Male,Agra,India,Graduate Program Student,Others,Not Started,2022-10-28 13:30:00,0,Not Given,0,No Skills Earned
2f5a5a25-1c68-4c7b-abe6-9c0c8c71e7d8,00000000-0GT8-HCVB-01AE-6QEP8Y,Life Beyond Saint Louis University's Campus,Event,2022-10-27 18:29:00,Male,Banjul,Gambia,Undergraduate Student,Others,Team Allocated,2022-10-28 13:30:00,0,Not Given,0,No Skills Earned
31e6a5e7-ed26-4604-b12b-6bf6b37ac05e,00000000-0GT8-HCVB-01AE-6QEP8Y,Life Beyond Saint Louis University's Campus,Event,2022-10-27 18:29:00,Female,Port Harcourt,Nigeria,Graduate Program Student,Others,Rewards Award,2022-10-28 13:30:00,200,Life Beyond Saint Louis University's Campus,10,"[""Creative Thinking"",""Technology Literacy"",""Initiative"",""Career Readiness""]"
461e1a5f-a0f6-4457-a364-b3f6e166988a,00000000-0GT8-HCVB-01AE-6QEP8Y,Life Beyond Saint Louis University's Campus,Event,2022-10-27 18:29:00,Male,Hyderabad,India,Graduate Program Student,Others,Rewards Award,2022-10-28 13:30:00,200,Life Beyond Saint Louis University's Campus,10,"[""Creative Thinking"",""Technology Literacy"",""Initiative"",""Career Readiness""]"
